names,keywords,socials
Shin Kiru,"['kiru', 'first', 'korean', 'youtube', 'shin', 'shin kiru', 'korean virtual youtuber', 'nijisanji', 'nijisanji kr', 'lee', 'second', 'pok\\xe9mon', 'leafgreen', 'minecraft', 'angvik', 'japanese', 'kiriges', 'kiru shin', 'nijsanji', '#', 'kirige - fans', '#kiru_art - fan', 'kiru shin\\uff09 -']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/c/cd/Shin_Kiru_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210324052245'], ['youtube', 'https://www.youtube.com/channel/UCi6nV5Z2dzFuXBzLG3P9zqQ'], ['twitch', 'https://www.twitch.tv/kirushin2434'], ['twitter', 'https://twitter.com/KiruShin2434']]"
Shino Laila,"['laila', 'youtube', 'wactor', 'japanese', 'thai', 'spanish', 'first', 'youtube', 'shino', 'shino laila', 'kurari rose', 'english', 'twitter', 'aisha', 'lilac', 'mocha', 'virtual youtuber', 'hoshina suzu', 'hina misora', 'vtuber', 'habla espa\\xf1ol\\u3010mucho gusto', 'laila shino', 'cat mario', 'that day', 'membership', 'just half an hour', 'shino laila\\u2019s', 'eileennoir', ""laila'"", 'holygames', 'genberten', 'velcra', 'apex legends', 'qualia qu and obly', 'laisavant', 'stir fry kale', 'brujita', 'misora', ""'overwatch'"", 'laila - youtube', '@shinolaila - twitter', 'lailashino_wactor - twitch', 'lailamarsh - marshmallow', 'shinolailawactor - streamlabs donation  shino laila - drawing', 'shinolaila', 'laillusta - fan', 'laila_news - news  ']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/f/f4/Shino_Laila_-_90K_fan-art_portrait.png/revision/latest/scale-to-width-down/350?cb=20210831032711'], ['youtube', 'https://www.youtube.com/channel//UCFSkExeBcqI4nb_ArHeByNw'], ['twitter', 'https://twitter.com/ShinoLaila'], ['twitch', 'https://www.twitch.tv/lailashino_wactor']]"
Seffyna,"['seffyna', 'nijisanji', 'youtube', 'first', 'fifth', 'twitter', 'han chiho', 'second', 'niji melody time', 'ryushen', 'selene', 'tts', 'mechafyna', 'bee', 'korean virtual youtuber', 'ban hada', 'song mia', '\\uc138\\ud53c\\ub098(\\u30bb\\u30d5\\u30a3\\u30ca\\u200b', ""\\uc785\\ub2c8\\ub2e4  seffyna's"", 'the night', 'three', 'kanaria', 'monetization', 'untitled goose game', 'nijisanji id', 'one year', 'livers', 'the next day', 'moon', 'greek', 'yushika', 'two', 'korean', 'toonation', 'ai', '"" money song', ""rosemi lovelock 's"", 'the great rosemi', 'theme song', 'shikinagi', 'akira', 'maria marionette', 'minecraft', 'yorumi rena', 'japanese', 'seffynaeat - food']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/3/36/Seffyna_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210528111232'], ['youtube', 'https://www.youtube.com/channel/UCeGendL8CO5RkffB6IFwHow'], ['twitch', 'https://www.twitch.tv/seffyna2434'], ['twitter', 'https://twitter.com/Seffyna2434']]"
Lee On,"['lee', 'nijisanji', 'sixth', 'ha yun', 'first', 'korean', 'korean virtual youtuber', 'ko yami', 'na sera', 'twitter', 'four', 'giga & kira  at', 'shin kiru', ""lower one's"", 'lanndo', 'irion', 'oliver evans', 'leeonart - fan', '#dark_on - fan', 'nsfw', '\\u30a4\\u30fb\\u30aa\\u30f3 / lee on']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/f/ff/Lee_On_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210923091207'], ['youtube', 'https://www.youtube.com/channel/UCCJcCWrbQzz6eDhX4M1CUwg'], ['twitch', 'https://www.twitch.tv/leeon2434'], ['twitter', 'https://twitter.com/LeeOn2434']]"
User:Scarlettblanc/Scarlett Blanc,"['french', 'english', 'scarlett blanc', 'debut', 'japanese', 'korean']",[]
Ban Hada,"['hada', 'nijisanji', 'first', 'korean', 'ban hada', 'seffyna', 'song mia', 'lee siu', 'fifth', 'english', 'youtube', 'twitter', 'lazulight', 'nijisanji id', 'apex legends reignite cup', 'bonnivier pranaja', 'selen tatsuki', 'tatakai wa taimingu', 'ha yun', 'yukishiro mahiro', 'japanese', 'apex legends', '#', 'korean virtual youtuber', 'virtual australia', 'koalas', 'kangaroos', 'second', 'three', 'twitch', 'korean', 'two', 'around august', 'the apex midsummer custom', 'virtuareal', 'sixth', 'apex legends shibuya hal custom lobby', 'mario kart', 'ready, set', 'lazulight', 'obsydia', 'eythria', 'nijisanji en', 'taka radjiman', 'the nijisanji valorant custom', 'lauren iroas', 'naraka', 'noisy cruise ship', 'yuhi riri', 'morinaka kazaki', 'saegusa akina', 'debidebi debiru', 'debiru', 'mianhada pinaya', 'nijiau', 'maria marionette', 'kaneshiro', 'sonny brisko', 'zotto', 'utami marin', 'karasuma kohane', 'hairo noin', 'multilingual', 'reru', 'konreru', '\\u3053\\u3093\\u308c\\u308b\\uff09and otsureru', 'painreru', 'reru', 'ban mama', 'fps', 'valorant', 'league of legends', 'hockey pockey', 'pokemon', '\\u200b minccino', 'recon legends', 'crypto', 'hoshikawa sara', 'nishizono chigusa', 'hana macchia', 'nijisanji - youtube', '#kaizocrew - fans  ', 'netoreru', 'kusareru', '\\u30d0\\u30f3\\u30fb\\u30cf\\u30c0 / ban hada', 'ban hada - moegirl encyclopedia']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/c/c0/Ban_Hada_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210528111307'], ['youtube', 'https://www.youtube.com/channel/UCLjx3lqIkYkPCBJop8czJ2A'], ['twitch', 'https://www.twitch.tv/banhada2434'], ['twitter', 'https://twitter.com/BanHada2434']]"
Han Chiho,"['chiho', 'nijisanji', 'korean', 'imja', 'han haru', 'han chiho', 'e&c', 'nijisanji kr', 'taoist', 'ggul tteok', 'japanese', 'first', 'han', 'korean virtual youtuber', 'gaon', 'one', 'dark chiho', 'killer', 'dead by daylight', 'youtube channel', 'yushika', 'seffyna', 'the end of april', 'youtube', 'nijisanji id', 'sa jiyu', 'lee zakka', 'chae ara', 'ryu nari', 'yang nari', 'fools', 'servant', 'only han chiho...', 'hiragana', 'english', 'hufflepuff', 'hogwarts', 'second', 'slytherin', 'pikachiho', 'chicasso', 'chiho potter', 'angel chiho', 'robot chiho', 'english voice pack', 'booth', 'song mia', 'dislikes: eggplants', 'assassin', 'apex legends', 'valorant', 'league of legends', 'debidebi debiru', 'kanae', 'kuzuha', 'sister cleaire', ""han chiho's"", 'twitch', 'chiho han\\u3010nijisanji kr\\u3011 - twitcasting', 'chihoart - fanart', 'hanchiho', 'chihoice - voice impressions', 'chiho han - unofficial', 'nicovideo encyclopedia             ']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/5/53/Han_Chiho_2nd_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210324045958'], ['youtube', 'https://www.youtube.com/channel/UCJ6LH4jMNy0JN9RSThz1mMQ'], ['twitter', 'https://twitter.com/HanChiho2434']]"
Ko Yami,"['ko yami', 'nijisanji', 'sixth', 'twitter', 'first', 'korean', 'ko', 'korean virtual youtuber', 'ha yun', 'na sera', 'lee', '\\ub098\\ud0c0\\ub0ac\\ub2e4\\ub0d0~', 'four', '\\u30e9\\u30de\\u30fc\\u30bap', 'lee siu', 'youtube', 'yami', '#', 'yamiart - fan', '\\u30b3\\u30fb\\u30e4\\u30df /']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/d/d3/Ko_Yami_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210923075911'], ['youtube', 'https://www.youtube.com/channel/UC9oudjCTHL2BfwxfDwI18eg'], ['twitch', 'https://www.twitch.tv/koyami2434'], ['twitter', 'https://twitter.com/KoYami2434']]"
So Nagi,"['nagi', 'nijisanji', 'korean', 'second', 'japanese', 'first', 'unagi', 'lee siu', 'chae ara', 'arashi unagi', ""nijisanji kr's"", '#', 'korean virtual youtuber', '\\u521d\\u914d\\u4fe1\\u3011\\ub098\\uae30', 'japan', 'shin yuya', 'min suha', 'yu ruri', 'wiffy', 'ryu hari', 'shin kiru', 'youtube', 'twitter', 'nijisanji id', 'the following day', 'na sera', 'ha yun', 'english', 'konnagi~', 'otsunagi', 'three', 'barbarian', 'nanami', 'naraka', 'nun bora', 'ange katrina', '\\u0001f327', 'nijisanji kr\\u3011 - twitcasting', 'unaginagi - general', '#nagiart - fan', '\\u30bd\\u30fb\\u30ca\\u30ae /', 'nagi - moegirl encyclopedia']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/0/0a/So_Nagi_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210324050254'], ['youtube', 'https://www.youtube.com/channel/UC5ek2GWKvUKFgnKSHuuCFrw'], ['twitter', 'https://twitter.com/NagiSo2434']]"
Eirene,"['eirene', 'strawberry', 'youtube', 'akumarin', 'english', ""projekt nova 's"", 'first', 'apex legends', 'chatting', 'asmr', 'twitch', 'an eventful day', 'healing melody', 'malay', 'korean', 'japanese', 'alter ego', 'one', 'one day', 'carrd', 'strawberry palace', 'discord server', 'berryonair - stream', 'yaberry - nsfw', 'eirene - profile', 'projekt nova  ', 'eirene - vtubie']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/7/75/Eirene_model_2.png/revision/latest/scale-to-width-down/333?cb=20221006032151'], ['twitch', 'https://www.twitch.tv/eirene_vt'], ['youtube', 'https://www.youtube.com/channel/UC6fdRC9nEXTNtBzeH-fHXzA'], ['twitter', 'https://twitter.com/eireneVT']]"
