names,keywords,images,twitter,youtube,twitch
shin kiru,"kiru,first,korean,youtube,shin,shin-kiru,korean-virtual-youtuber,nijisanji,nijisanji-kr,lee,second,leafgreen,minecraft,angvik,japanese,kiriges,kiru-shin,nijsanji,kirige,fans,kiru_art,fan",https://static.wikia.nocookie.net/virtualyoutuber/images/c/cd/Shin_Kiru_Portrait.png,https://twitter.com/KiruShin2434,https://www.youtube.com/channel/UCi6nV5Z2dzFuXBzLG3P9zqQ,https://www.twitch.tv/kirushin2434
shino laila,"laila,youtube,wactor,japanese,thai,spanish,first,shino,shino-laila,kurari-rose,english,twitter,aisha,lilac,mocha,virtual-youtuber,hoshina-suzu,hina-misora,vtuber,laila-shino,cat-mario,that-day,membership,just-half-an-hour,eileennoir,holygames,genberten,velcra,apex-legends,qualia-qu-and-obly,laisavant,stir-fry-kale,brujita,misora,overwatch,shinolaila,lailashino_wactor,twitch,lailamarsh,marshmallow,shinolailawactor,streamlabs-donation,drawing,laillusta,fan,laila_news,news",https://static.wikia.nocookie.net/virtualyoutuber/images/f/f4/Shino_Laila_-_90K_fan-art_portrait.png,https://twitter.com/ShinoLaila,https://www.youtube.com/channel//UCFSkExeBcqI4nb_ArHeByNw,https://www.twitch.tv/lailashino_wactor
seffyna,"seffyna,nijisanji,youtube,first,fifth,twitter,han-chiho,second,niji-melody-time,ryushen,selene,tts,mechafyna,bee,korean-virtual-youtuber,ban-hada,song-mia,seffynas,the-night,three,kanaria,monetization,untitled-goose-game,nijisanji-id,one-year,livers,the-next-day,moon,greek,yushika,two,korean,toonation,ai,money-song,rosemi-lovelock-s,the-great-rosemi,theme-song,shikinagi,akira,maria-marionette,minecraft,yorumi-rena,japanese,seffynaeat,food",https://static.wikia.nocookie.net/virtualyoutuber/images/3/36/Seffyna_Portrait.png,https://twitter.com/Seffyna2434,https://www.youtube.com/channel/UCeGendL8CO5RkffB6IFwHow,https://www.twitch.tv/seffyna2434
lee on,"lee,nijisanji,sixth,ha-yun,first,korean,korean-virtual-youtuber,ko-yami,na-sera,twitter,four,giga,kira,at,shin-kiru,lower-ones,lanndo,irion,oliver-evans,leeonart,fan,dark_on,nsfw",https://static.wikia.nocookie.net/virtualyoutuber/images/f/ff/Lee_On_Portrait.png,https://twitter.com/LeeOn2434,https://www.youtube.com/channel/UCCJcCWrbQzz6eDhX4M1CUwg,https://www.twitch.tv/leeon2434
scarlettblanc/scarlett blanc,"french,english,scarlett-blanc,debut,japanese,korean",,,,
ban hada,"hada,nijisanji,first,korean,ban-hada,seffyna,song-mia,lee-siu,fifth,english,youtube,twitter,lazulight,nijisanji-id,apex-legends-reignite-cup,bonnivier-pranaja,selen-tatsuki,tatakai-wa-taimingu,ha-yun,yukishiro-mahiro,japanese,apex-legends,korean-virtual-youtuber,virtual-australia,koalas,kangaroos,second,three,twitch,two,around-august,the-apex-midsummer-custom,virtuareal,sixth,apex-legends-shibuya-hal-custom-lobby,mario-kart,ready,set,obsydia,eythria,nijisanji-en,taka-radjiman,the-nijisanji-valorant-custom,lauren-iroas,naraka,noisy-cruise-ship,yuhi-riri,morinaka-kazaki,saegusa-akina,debidebi-debiru,debiru,mianhada-pinaya,nijiau,maria-marionette,kaneshiro,sonny-brisko,zotto,utami-marin,karasuma-kohane,hairo-noin,multilingual,reru,konreru,painreru,ban-mama,fps,valorant,league-of-legends,hockey-pockey,pokemon,recon-legends,crypto,hoshikawa-sara,nishizono-chigusa,hana-macchia,kaizocrew,fans,netoreru,kusareru,moegirl-encyclopedia",https://static.wikia.nocookie.net/virtualyoutuber/images/c/c0/Ban_Hada_Portrait.png,https://twitter.com/BanHada2434,https://www.youtube.com/channel/UCLjx3lqIkYkPCBJop8czJ2A,https://www.twitch.tv/banhada2434
han chiho,"chiho,nijisanji,korean,imja,han-haru,han-chiho,e,c,nijisanji-kr,taoist,ggul-tteok,japanese,first,han,korean-virtual-youtuber,gaon,one,dark-chiho,killer,dead-by-daylight,youtube-channel,yushika,seffyna,the-end-of-april,youtube,nijisanji-id,sa-jiyu,lee-zakka,chae-ara,ryu-nari,yang-nari,fools,servant,only-han-chiho,hiragana,english,hufflepuff,hogwarts,second,slytherin,pikachiho,chicasso,chiho-potter,angel-chiho,robot-chiho,english-voice-pack,booth,song-mia,dislikes,eggplants,assassin,apex-legends,valorant,league-of-legends,debidebi-debiru,kanae,kuzuha,sister-cleaire,han-chihos,twitch,twitcasting,chihoart,fanart,hanchiho,chihoice,voice-impressions,chiho-han,unofficial,nicovideo-encyclopedia",https://static.wikia.nocookie.net/virtualyoutuber/images/5/53/Han_Chiho_2nd_Portrait.png,https://twitter.com/HanChiho2434,https://www.youtube.com/channel/UCJ6LH4jMNy0JN9RSThz1mMQ,
ko yami,"ko-yami,nijisanji,sixth,twitter,first,korean,ko,korean-virtual-youtuber,ha-yun,na-sera,lee,four,lee-siu,youtube,yami,yamiart,fan",https://static.wikia.nocookie.net/virtualyoutuber/images/d/d3/Ko_Yami_Portrait.png,https://twitter.com/KoYami2434,https://www.youtube.com/channel/UC9oudjCTHL2BfwxfDwI18eg,https://www.twitch.tv/koyami2434
so nagi,"nagi,nijisanji,korean,second,japanese,first,unagi,lee-siu,chae-ara,arashi-unagi,nijisanji-krs,korean-virtual-youtuber,japan,shin-yuya,min-suha,yu-ruri,wiffy,ryu-hari,shin-kiru,youtube,twitter,nijisanji-id,the-following-day,na-sera,ha-yun,english,konnagi,otsunagi,three,barbarian,nanami,naraka,nun-bora,ange-katrina,twitcasting,unaginagi,general,nagiart,fan,moegirl-encyclopedia",https://static.wikia.nocookie.net/virtualyoutuber/images/0/0a/So_Nagi_Portrait.png,https://twitter.com/NagiSo2434,https://www.youtube.com/channel/UC5ek2GWKvUKFgnKSHuuCFrw,
eirene,"eirene,strawberry,youtube,akumarin,english,projekt-nova-s,first,apex-legends,chatting,asmr,twitch,an-eventful-day,healing-melody,malay,korean,japanese,alter-ego,one,one-day,carrd,strawberry-palace,discord-server,berryonair,stream,yaberry,nsfw,profile,projekt-nova,vtubie",https://static.wikia.nocookie.net/virtualyoutuber/images/7/75/Eirene_model_2.png,https://twitter.com/eireneVT,https://www.youtube.com/channel/UC6fdRC9nEXTNtBzeH-fHXzA,https://www.twitch.tv/eirene_vt
airani iofifteen,"youtube,indonesia,twitter,first,japanese,indonesian,iofi,aragami-oga,airani-iofifteen,moona,risu,english,sora,airani,moona-hoshinova,ayunda-risu,second,third,the-day,fourth,frontier,kureiji-ollie,korean,bang-dream,virtual-youtuber,vtubers,anak-alien-biasa,vcd,alien-alien,nayutalien,independence-day,bersama-ioforia,rikka,gen,two,the-year,showcase,october,indonesea,comifuro-virtual,crunchyroll-expo-s,kira-kira-collab,arurandeisu,kira-kira-family,kira-kira-club,shirakami-fubuki,unidemons,deep-blizzard-miyuki,watafi,tsunomaki-watame,zombilien,astel-leda,ogabisa,zepi,vestia-zeta,iollie,sundanese,german,one,anime,video-games,hiragana,katakana,kanji,idolm,ster,roselia,minato-yukina,tonsillitis,tokino-sora,otaku,monthly,otaku-radio,iosoradio,tweet,one-day,the-morning,airani-iofifteens,airaniiofifteen,facebook,airani_iofifteen,tiktok,art-tutorials,hololive-fan-wiki",https://static.wikia.nocookie.net/virtualyoutuber/images/c/cb/Airani_Iofifteen_-_Portrait.png,https://twitter.com/airaniiofifteen,https://www.youtube.com/channel/UCAoy6rzhSf4ydcYjJw3WoVg,
ronarona,"twitch,korean,virtual-youtuber,youtube,cafe-naver",https://static.wikia.nocookie.net/virtualyoutuber/images/0/07/RonaRonaPortrait.png.png,,https://www.youtube.com/channel/UCcMiI7JHjS2ONfV2PBuUabQ,
dering,"korean-virtual-youtuber,nextfloor,dering,youtube",https://static.wikia.nocookie.net/virtualyoutuber/images/2/23/Dering.jpg,,,
vestia zeta,"zeta,youtube,indonesia,first,twitter,indonesian,third,kobo-kanaeru,bazo,greek,vestia-zeta,japanese,vestia,axel,hunter,virtual-youtuber,vtubers,kaela-kovalskia,mission,the-secret-archive-unit,axel-syrios,kureiji-ollie-s,her-debut-week,irys,this-date,aimer,valorant,kobo,second,id,bebas,iwa-k,crunchyroll-expo-s,frontier,zecretary,zetaibou,secret-unit,zepi,airani-iofifteen,zenya,anya-melfissa,bozet,moona-hoshinova,takobazo,ninomae-inanis,tako,zetame,watson-amelia,latin,vesta,sixth,holostars,hizaki-gamma,katakana,three,hakos-baelz,bleach,blue-lock,gitama,haikyuu,inazuma-eleven,kami,katekyo-hitman-reburn,koe-no,katachi,kuroko-no-basket,magi,one,piece,psycho-pass,psyren,the-korean-manhwa-solo-levelling,fps,apex-and-valorant,moon,jump-king,mafia,smash-bros,cooking-simulator,mother-simulator,mission-report,meme-review,late-night,asmr,apex-masters,yorumi-rena,ryu-hari,nijisanji,kurune-kokuri,yashiki-ciel-of-buisen,mizuboshi-yamu,english,korean,vestiazeta_hololiveid,twitch,vestia-zetas",https://static.wikia.nocookie.net/virtualyoutuber/images/b/b6/Vestia_Zeta_Portrait.png,https://twitter.com/vestiazeta,https://www.youtube.com/channel/UCTvHWSfBZgtxE4sILOaurIQ,https://twitch.tv/vestiazeta_hololiveid
juninya,"juni,twitch,vtuber,a,dere-archetype,four,youtube,tiktok,the-existential-crisis-of-a-singular-boba,the-boba-store,next,approximately-twenty-minutes,juninya,powerpoint,one,goonie,nyakuza",https://static.wikia.nocookie.net/virtualyoutuber/images/3/33/Juninya_L2D.jpg,https://twitter.com/juninya_vt,https://www.youtube.com/channel/UCZ-S4vuHXwv0fHmpsnwUPrg,https://www.twitch.tv/juninya
lorou,"lorou,nijisanji,kaen,hakuren,e,c,nijisanji-kr,bgm,han-chiho,korean-virtual-youtuber,korean,virtual-youtuber,the-virtual-youtubers,youtube,twitter,first,gaon,moarin,yu-ruri,lucia,ena,alice-mana,ujico/snails,house,camellia,tokyo-machine,twitter-account",https://static.wikia.nocookie.net/virtualyoutuber/images/6/6e/Lorou_Headshot.png,https://twitter.com/LOROU_vtuber,https://www.youtube.com/channel/UCLSzgV37Dt24T8p3-TNiSLg,https://www.twitch.tv/lorou
